179,term16344 df=4 cf=4
1797,term24769 df=1 cf=1
1799,term22475 df=1 cf=1
17th,term1591 df=9 cf=10
18,term2104 df=171 cf=174
180,term4397 df=6 cf=6
1800,term11865 df=5 cf=5
1800s,term27729 df=1 cf=1
1801,term7740 df=1 cf=1
1803,term12225 df=2 cf=2
1804,term11072 df=2 cf=5
1805,term24681 df=1 cf=1
1806,term22476 df=1 cf=1
1808,term13462 df=1 cf=1
181,term13202 df=7 cf=7
1811,term26667 df=1 cf=1
1812,term24617 df=1 cf=1
1816,term28077 df=1 cf=1
1817,term27993 df=1 cf=3
1819,term27484 df=2 cf=2
182,term22022 df=5 cf=5
1820,term22165 df=1 cf=1
1821,term27108 df=1 cf=1
1822,term29597 df=1 cf=1
1825,term14295 df=1 cf=2
1828,term2135 df=5 cf=6
1829,term2136 df=2 cf=2
183,term16388 df=2 cf=2
1830,term9255 df=1 cf=1
1831,term14944 df=2 cf=2
1833,term13669 df=1 cf=1
1835,term9256 df=5 cf=5
1836,term11094 df=3 cf=4
1837,term19191 df=2 cf=3
184,term27388 df=1 cf=1
1840,term10117 df=2 cf=3
1841,term12077 df=2 cf=3
1843,term10207 df=2 cf=2
1844,term10396 df=3 cf=3
1846,term13463 df=2 cf=2
1848,term6615 df=2 cf=2
185,term14257 df=4 cf=4
1850,term148 df=7 cf=8
1850s,term23529 df=1 cf=2
1851,term10902 df=1 cf=2
1852,term149 df=2 cf=3
1853,term10208 df=2 cf=2
1855,term28262 df=1 cf=1
1857,term14126 df=1 cf=1
1858,term16888 df=1 cf=2
186,term20358 df=2 cf=2
1860,term18679 df=4 cf=4
1860s,term27832 df=1 cf=1
1861,term22371 df=1 cf=1
1862,term19192 df=1 cf=1
1865,term14500 df=1 cf=1
1869,term10598 df=2 cf=2
187,term24611 df=2 cf=2
1870,term11655 df=4 cf=5
1870s,term10599 df=2 cf=2
1872,term10952 df=1 cf=1
1873,term3953 df=2 cf=3
1874,term15699 df=2 cf=2
1875,term10600 df=2 cf=2
1876,term24426 df=5 cf=6
1877,term27144 df=1 cf=2
1878,term17568 df=2 cf=3
1879,term17110 df=1 cf=1
188,term12844 df=2 cf=2
1880,term10801 df=3 cf=4
1880s,term9632 df=2 cf=2
1881,term19551 df=3 cf=6
1884,term23015 df=1 cf=1
1885,term17111 df=3 cf=3
1886,term10941 df=2 cf=2
1887,term19193 df=1 cf=1
1888,term21484 df=2 cf=2
1889,term20186 df=2 cf=3
189,term1823 df=1 cf=1
1890,term19011 df=3 cf=3
1891,term10124 df=2 cf=2
1892,term15249 df=2 cf=2
1893,term11291 df=4 cf=4
1894,term23783 df=2 cf=2
1895,term11095 df=5 cf=5
1896,term11575 df=2 cf=2
1897,term10397 df=4 cf=4
1898,term17569 df=1 cf=1
1899,term16155 df=9 cf=9
18th,term1592 df=20 cf=22
19,term1672 df=199 cf=210
190,term18436 df=2 cf=2
1900,term9381 df=7 cf=8
1900s,term1673 df=1 cf=1
1901,term18929 df=2 cf=2
1902,term11621 df=5 cf=5
1903,term6207 df=3 cf=3
1904s,term18383 df=1 cf=1
1905,term9204 df=7 cf=8
1907,term5673 df=9 cf=11
1908,term9382 df=2 cf=3
1909,term8049 df=3 cf=4
191,term10034 df=3 cf=3
1910,term16951 df=3 cf=3
1911,term6170 df=6 cf=6
1912,term22608 df=1 cf=1
1913,term10953 df=2 cf=2
1914,term20187 df=3 cf=3
1915,term28078 df=1 cf=1
1916,term23257 df=1 cf=1
1917,term9736 df=12 cf=16
1918,term5101 df=4 cf=4
1919,term10954 df=5 cf=5
192,term10035 df=4 cf=4
1920,term10802 df=8 cf=10
1920s,term8413 df=10 cf=11
1921,term18680 df=4 cf=5
1922,term9737 df=3 cf=3
1923,term2150 df=2 cf=3
1924,term9120 df=2 cf=2
1925,term7863 df=1 cf=1
1926,term14975 df=2 cf=2
1927,term20463 df=2 cf=3
1928,term20675 df=2 cf=2
1929,term19012 df=1 cf=1
193,term9613 df=3 cf=3
1930,term9257 df=7 cf=8
1930s,term5523 df=12 cf=13
1931,term15465 df=4 cf=5
