1763,term23360 df=2 cf=2
1765,term3654 df=1 cf=1
177,term15400 df=2 cf=2
1770,term14067 df=1 cf=1
1770s,term8572 df=1 cf=1
1774,term15735 df=1 cf=1
178,term14687 df=6 cf=6
1788,term27705 df=1 cf=1
1789,term28365 df=1 cf=2
179,term16905 df=4 cf=4
1797,term24969 df=1 cf=1
1799,term22905 df=1 cf=1
17th,term1660 df=8 cf=9
18,term2223 df=178 cf=181
180,term4645 df=8 cf=8
1800,term15312 df=4 cf=5
1800s,term27873 df=1 cf=1
1801,term8194 df=1 cf=1
1803,term12793 df=4 cf=4
1804,term11661 df=2 cf=2
1805,term24883 df=1 cf=1
1806,term22906 df=1 cf=1
1808,term14068 df=1 cf=1
181,term13771 df=8 cf=8
1811,term26775 df=1 cf=1
1812,term24828 df=1 cf=1
1816,term28201 df=1 cf=1
1817,term28120 df=1 cf=3
1819,term27626 df=2 cf=2
182,term22471 df=6 cf=6
1820,term22599 df=1 cf=1
1821,term27257 df=1 cf=1
1822,term29543 df=1 cf=1
1825,term14896 df=1 cf=2
1828,term2256 df=6 cf=7
1829,term2257 df=2 cf=2
183,term16944 df=2 cf=2
1830,term9837 df=1 cf=1
1831,term15519 df=2 cf=2
1833,term14244 df=1 cf=1
1835,term9838 df=5 cf=5
1836,term11688 df=3 cf=3
1837,term19663 df=2 cf=2
1839,term27865 df=1 cf=1
184,term27531 df=1 cf=1
1840,term10736 df=2 cf=3
1841,term12662 df=2 cf=3
1843,term10841 df=2 cf=2
1844,term10995 df=3 cf=4
1846,term14069 df=2 cf=2
1848,term7025 df=2 cf=2
1849,term21399 df=1 cf=1
185,term14850 df=4 cf=4
1850,term163 df=7 cf=9
1850s,term23827 df=1 cf=2
1851,term11505 df=2 cf=3
1852,term164 df=2 cf=3
1853,term10842 df=2 cf=2
1855,term28366 df=1 cf=1
1857,term14726 df=1 cf=1
1858,term17392 df=1 cf=2
186,term20840 df=2 cf=2
1860,term19165 df=4 cf=4
1860s,term27979 df=1 cf=1
1861,term22811 df=1 cf=1
1862,term19664 df=1 cf=1
1865,term15077 df=1 cf=1
1867,term24705 df=1 cf=2
1869,term11189 df=2 cf=2
187,term24826 df=2 cf=2
1870,term12252 df=6 cf=7
1870s,term11190 df=2 cf=2
1872,term11549 df=1 cf=1
1873,term4185 df=2 cf=3
1874,term16290 df=2 cf=2
1875,term11191 df=3 cf=3
1876,term20017 df=6 cf=7
1877,term27287 df=1 cf=2
1878,term18109 df=3 cf=4
1879,term17644 df=1 cf=1
188,term13417 df=2 cf=2
1880,term11382 df=4 cf=6
1880s,term10199 df=2 cf=2
1881,term16836 df=4 cf=7
1882,term22809 df=1 cf=1
1884,term16837 df=2 cf=2
1885,term17645 df=3 cf=3
1886,term11540 df=3 cf=3
1887,term19665 df=1 cf=1
1888,term21959 df=2 cf=2
1889,term20682 df=3 cf=3
189,term1930 df=1 cf=1
1890,term19495 df=3 cf=3
1891,term10741 df=2 cf=2
1892,term12461 df=3 cf=3
1893,term11877 df=4 cf=4
1894,term24059 df=2 cf=2
1895,term11689 df=5 cf=5
1896,term12164 df=2 cf=2
1897,term10996 df=4 cf=4
1898,term18110 df=1 cf=1
1899,term16723 df=9 cf=9
18s,term24871 df=1 cf=1
18th,term1661 df=24 cf=28
19,term1751 df=211 cf=220
190,term18942 df=3 cf=3
1900,term4233 df=8 cf=9
1900s,term1752 df=1 cf=1
1901,term17767 df=3 cf=3
1902,term12225 df=5 cf=5
1903,term6618 df=3 cf=3
1904s,term18894 df=1 cf=1
1905,term9773 df=8 cf=9
1907,term6068 df=9 cf=11
1908,term9949 df=4 cf=4
1909,term8553 df=3 cf=3
191,term10647 df=3 cf=3
1910,term17442 df=3 cf=3
1911,term6573 df=6 cf=6
1912,term23022 df=1 cf=1
1913,term11550 df=2 cf=2
1914,term12905 df=4 cf=4
1915,term22810 df=2 cf=2
1916,term23577 df=1 cf=1
1917,term10319 df=14 cf=18
1918,term5443 df=5 cf=5
1919,term11551 df=5 cf=5
192,term10648 df=4 cf=4
1920,term11383 df=9 cf=11
1920s,term8941 df=10 cf=11
1921,term19166 df=4 cf=5
1922,term10320 df=3 cf=3
1923,term2273 df=3 cf=4
1924,term9667 df=2 cf=2
1925,term8338 df=1 cf=1
1926,term12462 df=3 cf=3
1927,term20951 df=3 cf=4
1928,term2155 df=4 cf=4
1929,term19496 df=2 cf=2
193,term10175 df=3 cf=3
1930,term9839 df=9 cf=10
1930s,term5878 df=12 cf=13
1931,term16044 df=4 cf=5
1932,term6619 df=5 cf=5
1933,term5930 df=4 cf=8
1934,term7215 df=4 cf=4
1935,term5931 df=8 cf=9
1936,term15716 df=2 cf=2
1937,term14557 df=6 cf=8
1938,term7216 df=4 cf=5
1939,term10997 df=4 cf=4
194,term10377 df=3 cf=3
1940,term14365 df=6 cf=6
1940s,term13458 df=6 cf=6
1941,term11402 df=3 cf=3
1942,term23398 df=3 cf=4
1943,term5932 df=3 cf=3
1944,term17927 df=5 cf=6
1945,term6322 df=20 cf=23
1946,term9668 df=6 cf=6
1947,term15338 df=6 cf=6
1948,term10998 df=10 cf=10
1949,term9950 df=9 cf=9
195,term4299 df=3 cf=3
1950,term3804 df=17 cf=18
1950s,term9840 df=15 cf=15
1951,term13316 df=5 cf=6
1952,term8042 df=5 cf=6
1953,term3805 df=8 cf=8
1954,term7852 df=8 cf=8
1955,term6207 df=10 cf=11
1956,term17768 df=20 cf=24
1957,term12733 df=13 cf=13
1958,term7392 df=51 cf=55
1959,term1212 df=81 cf=81
196,term8025 df=3 cf=3
1960,term0 df=169 cf=170
1960s,term9774 df=22 cf=22
1961,term552 df=196 cf=200
1962,term431 df=259 cf=261
1963,term1607 df=312 cf=315
1964,term1901 df=234 cf=237
1965,term967 df=205 cf=211
1966,term1805 df=200 cf=202
1967,term602 df=191 cf=195
1968,term2768 df=164 cf=170
1969,term784 df=188 cf=193
197,term16113 df=3 cf=3
1970,term1237 df=252 cf=262
1970s,term3601 df=51 cf=54
1971,term677 df=140 cf=144
1972,term1716 df=205 cf=208
1973,term1717 df=209 cf=218
1974,term165 df=201 cf=209
1975,term559 df=211 cf=219
1976,term280 df=172 cf=184
1977,term2935 df=216 cf=331
1978,term1 df=3139 cf=3183
1979,term16 df=389 cf=455
198,term6121 df=1 cf=1
1980,term994 df=375 cf=418
1980s,term4841 df=58 cf=66
1981,term93 df=225 cf=249
1982,term866 df=80 cf=87
1983,term11618 df=12 cf=12
1984,term16895 df=5 cf=5
1985,term19042 df=7 cf=7
1986,term26041 df=1 cf=2
1987,term18623 df=1 cf=1
1988,term8195 df=1 cf=1
